AMT_INCOME_TOTAL,DAYS_EMPLOYED,NAME_INCOME_TYPE,CNT_CHILDREN,FLAG_OWN_CAR,FLAG_OWN_REALTY,TARGET
209726,-8760,Commercial associate,0,N,N,0
387360,-6935,Working,0,Y,N,0
149052,-9125,Working,0,N,Y,1
386848,-5840,Working,0,N,Y,0
409378,-12410,Working,1,Y,Y,0
393459,-6570,State servant,1,N,Y,0
298955,-7665,State servant,0,Y,Y,0
156396,-9855,Working,1,N,N,1
867614,-4745,Commercial associate,0,Y,N,0
462355,-13505,Working,1,Y,N,1
546030,-2190,Commercial associate,1,N,Y,0
246907,-13140,State servant,0,N,Y,0
217477,365243,Pensioner,0,N,Y,1
343688,-8030,Working,1,N,Y,0
207573,-10220,Working,0,N,Y,1
160354,-5475,Working,0,N,N,1
182018,365243,Pensioner,0,N,Y,1
361439,-8030,Working,0,N,Y,0
183384,-2190,Working,1,Y,N,1
180820,-12045,Working,0,N,N,1
263965,-2920,Commercial associate,0,Y,Y,1
967610,-9490,Commercial associate,1,Y,Y,0
436430,-10950,Working,1,Y,N,0
312456,-1095,Working,0,N,N,1
145761,365243,Pensioner,0,N,Y,1
5209,0,Student,1,Y,Y,1
239005,-13140,Working,0,N,Y,1
8346,0,Student,3,Y,N,1
880206,-365,Commercial associate,1,N,Y,1
257419,-13505,Working,0,N,Y,1
403994,-6205,Working,0,N,Y,1
265173,365243,Pensioner,0,Y,Y,1
468863,-9855,Working,0,N,Y,0
196452,-11315,Working,2,N,Y,1
257550,-730,Working,0,Y,Y,1
398277,-4380,Working,3,N,Y,0
450083,-7300,Working,0,N,Y,1
103051,365243,Pensioner,3,Y,Y,1
281189,365243,Pensioner,1,N,Y,1
233223,365243,Pensioner,2,N,N,1
454371,-8030,Commercial associate,3,N,N,0
115066,365243,Pensioner,0,N,Y,1
819674,-11315,Commercial associate,0,N,Y,0
162712,-12045,Working,0,N,Y,1
446717,-4380,Working,0,Y,N,0
431414,-4015,Commercial associate,0,Y,Y,0
190262,365243,Pensioner,2,N,Y,1
977130,-7665,Commercial associate,0,N,Y,0
314304,-6570,Working,1,Y,Y,1
607137,-12410,Commercial associate,0,N,N,0
88603,0,Student,0,Y,Y,1
455719,-7300,Commercial associate,3,Y,Y,0
334390,-11315,Working,0,N,Y,1
559014,-8030,Commercial associate,0,Y,Y,0
121638,-6935,Working,1,N,N,1
321097,-14235,State servant,1,N,Y,0
117163,365243,Pensioner,1,Y,Y,1
205468,-13505,Working,0,N,Y,1
494594,-11680,Working,0,N,Y,0
412354,0,Working,0,Y,N,1
885967,-12045,Commercial associate,1,N,N,0
223696,365243,Pensioner,0,Y,N,1
443932,-1825,Working,1,Y,N,1
428681,-3285,Working,1,Y,Y,0
392878,-1095,Working,1,N,N,1
173870,-12410,Working,1,N,N,1
678977,-10220,Commercial associate,2,N,N,1
164159,365243,Pensioner,0,Y,N,1
62940,365243,Pensioner,0,N,Y,1
263639,-8030,Working,1,N,Y,1
231250,-1460,Working,1,N,N,1
465036,-365,Working,3,N,N,1
964601,-12410,Commercial associate,0,N,N,0
494109,-5475,Working,2,N,N,1
285702,365243,Pensioner,0,N,Y,1
364159,-14235,State servant,2,Y,Y,0
209422,365243,Pensioner,2,N,Y,1
447941,-10220,Commercial associate,0,Y,N,0
543154,-12045,Commercial associate,0,Y,Y,0
21045,0,Student,1,N,N,1
196312,365243,Pensioner,1,Y,N,1
201285,365243,Pensioner,2,N,Y,1
382152,-3650,Working,1,N,Y,1
478910,-5840,Commercial associate,0,N,N,0
58802,365243,Pensioner,1,N,Y,1
472339,-8030,Working,1,N,Y,1
37425,0,Student,0,N,N,1
318599,-11315,Working,1,N,N,1
62699,0,Student,0,N,Y,1
365919,-8760,Working,0,N,Y,0
247032,-10585,Working,0,N,N,1
187521,365243,Pensioner,0,Y,N,1
307440,-13870,Working,2,Y,Y,0
179335,-2920,Working,0,Y,Y,1
814101,-7665,Commercial associate,2,N,N,1
566704,-11680,State servant,1,N,Y,0
372544,-9855,Working,0,N,N,0
171537,-8395,Working,0,N,N,1
363286,-5840,State servant,2,N,Y,0
629763,-730,Commercial associate,2,N,Y,1
378720,-1095,Working,3,N,Y,1
710472,-4015,Commercial associate,3,Y,Y,0
258805,365243,Pensioner,0,Y,Y,1
334453,-12410,Working,0,N,N,0
434248,-12045,Working,2,N,N,1
481325,-8030,Working,0,N,Y,0
126081,-12410,Working,1,Y,N,1
116562,0,Working,0,N,Y,1
123065,-5475,Working,0,N,Y,1
83302,365243,Pensioner,0,Y,Y,1
87245,0,Student,0,N,N,1
311428,-4015,Working,1,N,N,1
135897,-1825,Working,1,Y,Y,1
456742,-5110,Working,3,N,Y,1
219178,365243,Pensioner,0,N,Y,1
578189,-10220,Commercial associate,0,N,Y,0
292150,-2190,Working,2,N,N,1
201100,365243,Pensioner,1,N,N,1
951331,-7300,Commercial associate,0,Y,Y,0
469359,-11315,Working,0,N,Y,0
317726,-12775,Working,1,N,Y,0
363136,-3650,Working,0,N,Y,1
444407,-14235,Working,0,N,Y,0
388763,-8395,Working,0,N,Y,0
612601,-3650,Commercial associate,0,N,Y,0
824913,-6935,Commercial associate,2,N,Y,0
327459,-6205,Working,1,N,Y,1
329530,-5110,Working,0,N,Y,0
493369,-9855,Working,1,N,Y,1
250976,365243,Pensioner,0,N,N,1
200882,365243,Pensioner,1,N,N,1
425687,0,Commercial associate,0,N,N,1
597798,-9855,Commercial associate,1,N,N,0
900614,-11680,Commercial associate,1,N,Y,0
310489,-3650,Commercial associate,1,N,Y,0
215116,-4745,Commercial associate,0,N,Y,0
405063,-365,Working,0,N,Y,1
55499,365243,Pensioner,0,N,N,1
503791,-12775,State servant,0,N,N,0
351071,-12775,Working,0,N,N,0
468615,-2190,Working,1,N,Y,1
379343,-2190,Working,2,Y,Y,0
503972,-13140,State servant,0,Y,Y,0
297780,-3650,Working,1,N,N,1
29709,0,Student,2,N,Y,1
51936,365243,Pensioner,1,N,Y,1
848033,-7300,Commercial associate,1,N,N,1
370665,-12045,Working,0,N,Y,0
370824,-365,Commercial associate,1,N,Y,1
190399,365243,Pensioner,1,N,Y,1
189044,-7665,Working,1,N,N,1
262696,0,Working,1,N,N,1
115734,-1825,Working,1,N,Y,1
666836,-1825,Commercial associate,1,Y,Y,0
283851,-11315,State servant,2,Y,Y,0
394255,-9125,State servant,0,N,Y,0
275756,365243,Pensioner,0,N,N,1
413572,-12045,Working,1,N,Y,0
237799,-10585,Working,0,Y,N,1
65577,365243,Pensioner,1,Y,Y,1
557092,-10585,Commercial associate,0,N,Y,0
395457,-2555,Working,0,N,Y,0
159164,-730,Working,2,N,Y,1
165819,365243,Pensioner,1,N,N,1
244587,-5475,Working,0,N,N,1
55636,365243,Pensioner,2,N,Y,1
67143,365243,Pensioner,1,N,Y,1
422245,0,Working,0,N,N,1
319631,-9490,Working,2,Y,N,0
539187,-14235,State servant,1,Y,Y,0
321439,-11680,Working,0,N,N,0
806306,-1460,Commercial associate,3,Y,Y,0
726925,-3650,Commercial associate,2,Y,Y,0
547236,-3285,Commercial associate,0,Y,Y,0
317394,-3285,Working,0,N,N,1
119403,-12045,Working,2,N,N,1
548845,-12045,State servant,1,N,N,0
389819,-5475,Working,0,Y,Y,0
519248,-9490,Commercial associate,2,N,N,0
225494,-7665,Commercial associate,0,Y,Y,0
399479,-14235,Working,1,Y,Y,0
466378,-12045,Working,2,N,Y,0
501770,-1095,State servant,2,Y,Y,0
696753,-4015,Commercial associate,1,N,N,0
94980,365243,Pensioner,0,N,Y,1
619876,-4380,Commercial associate,1,N,Y,0
180691,-6570,Working,0,Y,Y,1
139236,-3285,Working,0,N,Y,1
429061,-9490,Working,3,Y,Y,0
68685,0,Student,1,Y,Y,1
397438,-14235,Working,0,Y,N,1
137879,-11680,Working,1,N,N,1
323032,0,Working,1,N,N,1
74710,0,Student,1,N,Y,1
541701,-10220,Commercial associate,2,N,Y,0
426024,-14235,Commercial associate,0,N,Y,0
127307,-12045,Working,0,N,N,1
203920,-8030,Working,1,N,N,1
403806,-6935,Working,1,Y,Y,0
226128,-1460,Commercial associate,3,Y,Y,1
285943,365243,Pensioner,3,N,Y,1
348003,-8395,Working,1,N,N,1
268733,-8395,Working,2,Y,N,1
273979,-8395,Working,0,N,N,1
86160,365243,Pensioner,0,N,Y,1
341766,-7665,Working,0,N,Y,0
692508,-6205,Commercial associate,2,N,N,1
378011,-13505,Working,0,N,N,1
35362,0,Student,0,N,N,1
418667,-365,Working,1,N,Y,1
480214,-1095,Working,2,Y,N,1
219579,365243,Pensioner,1,N,N,1
827907,-2190,Commercial associate,1,N,N,0
427329,-1825,Working,0,N,Y,1
133021,365243,Pensioner,2,N,Y,1
736114,-730,Commercial associate,0,N,Y,1
866627,-3285,Commercial associate,0,Y,Y,0
440696,-9490,State servant,1,Y,N,0
89080,0,Student,0,N,Y,1
344172,-1095,Working,1,Y,N,1
151024,-365,Working,0,N,Y,1
183653,365243,Pensioner,0,N,N,1
149340,365243,Pensioner,1,N,Y,1
232940,-12410,Commercial associate,0,N,Y,1
126505,-12045,Working,0,Y,Y,1
103880,-11315,Working,1,Y,Y,1
148784,-3650,Working,0,N,N,1
64549,365243,Pensioner,0,N,N,1
384784,-7665,State servant,2,Y,N,0
435325,-10950,Working,0,Y,Y,0
254672,-5475,State servant,0,Y,N,0
432911,-1460,Commercial associate,1,N,N,0
498845,-9490,Commercial associate,0,N,N,0
205185,-5110,Working,0,N,Y,1
83785,365243,Pensioner,3,Y,Y,1
857253,-3650,Commercial associate,1,N,N,0
366186,-6205,Working,2,N,Y,0
61720,0,Student,1,Y,Y,1
511417,-1460,State servant,2,N,N,1
147779,-7300,Working,0,N,Y,1
795644,-7300,Commercial associate,1,N,Y,0
382894,-5475,Working,0,N,N,1
422870,-7300,Working,2,N,Y,0
269176,-3650,Working,0,N,N,1
391829,-7300,Working,1,Y,N,0
485007,-2920,Working,0,N,Y,1
270524,365243,Pensioner,0,N,N,1
698095,-13505,Commercial associate,0,N,Y,0
384535,-4380,Commercial associate,0,N,N,0
372428,-1460,State servant,2,N,Y,0
307384,-2920,Working,2,N,N,1
441116,-730,Working,1,N,N,1
414395,-7665,State servant,1,N,Y,1
466464,-10585,Working,0,N,N,0
271929,-4380,Working,0,Y,N,1
134831,-5840,Working,0,N,Y,1
785842,-1095,Commercial associate,0,N,N,0
41256,0,Student,2,N,Y,1
137908,365243,Pensioner,0,N,Y,1
256323,-11315,Working,1,N,Y,1
265075,365243,Pensioner,1,N,Y,1
101132,-13140,Working,0,Y,N,1
353608,-6205,Working,1,N,N,1
383445,-9125,Working,0,N,Y,1
418000,-13140,Working,0,Y,Y,1
11110,0,Student,0,Y,N,1
186155,-10220,Working,0,N,Y,1
339647,-3285,Working,2,N,Y,0
202499,-6205,Working,0,N,N,1
303141,-10220,Working,1,Y,Y,0
247327,365243,Pensioner,1,N,Y,1
179569,-6935,Working,2,N,Y,1
333312,-9855,Working,0,Y,N,1
191038,-2920,Working,0,N,Y,1
262434,-9125,Working,0,Y,Y,0
252131,-8760,Working,1,N,Y,1
101468,-10950,Working,1,N,Y,1
412425,-3285,Working,1,Y,Y,1
742462,-1825,Commercial associate,1,Y,Y,0
235541,365243,Pensioner,0,N,N,1
364291,-14235,Working,0,N,Y,0
415646,-10585,Working,1,Y,N,0
290562,-1460,State servant,0,Y,N,0
331449,-9490,Working,0,N,Y,1
190736,-6570,State servant,2,Y,N,1
499531,-2555,Commercial associate,0,N,N,0
891150,-4380,Commercial associate,0,N,Y,0
341356,-13870,Working,1,N,Y,1
208253,365243,Pensioner,0,N,N,1
396694,-10220,Working,0,N,Y,0
728269,-7665,Commercial associate,2,N,Y,0
615976,-3285,Commercial associate,1,Y,Y,0
255025,365243,Pensioner,0,N,Y,1
215791,-6570,Commercial associate,0,N,Y,1
32888,0,Student,0,N,Y,1
107676,365243,Pensioner,0,N,Y,1
290790,-10220,State servant,0,Y,Y,0
154143,365243,Pensioner,0,N,Y,1
421701,-10950,Working,2,Y,Y,0
231199,0,State servant,0,N,N,1
244968,0,State servant,0,N,Y,1
406604,-5840,Working,2,Y,N,1
55057,365243,Pensioner,3,Y,N,1
129680,-365,Working,1,N,N,1
8123,0,Student,1,Y,N,1
280246,365243,Pensioner,2,Y,Y,1
280364,-13505,State servant,1,Y,N,0
485016,-730,Working,1,Y,N,1
417912,-12410,Commercial associate,1,Y,N,0
375381,-730,Working,1,N,Y,1
254647,-8395,State servant,1,N,Y,1
173705,-13870,Working,3,N,N,1
296408,365243,Pensioner,1,Y,N,1
215390,365243,Pensioner,0,Y,Y,1
186496,365243,Pensioner,2,N,Y,1
270457,-6205,Working,0,N,Y,1
74976,365243,Pensioner,1,N,Y,1
469670,-4380,Commercial associate,2,N,Y,0
305728,-11315,Working,0,N,Y,1
948065,-6935,Commercial associate,1,N,N,1
254841,-10585,Working,0,Y,Y,0
233922,-7300,Working,3,N,Y,1
400314,-6935,Working,1,Y,N,1
440070,-11680,Working,1,N,N,1
115385,-4745,Working,1,Y,N,1
353724,-11315,Working,0,N,Y,0
204126,-9490,Working,0,N,Y,1
107480,365243,Pensioner,3,Y,N,1
479739,-12410,Working,0,N,N,1
278422,-6570,Commercial associate,0,Y,Y,0
266682,365243,Pensioner,0,N,N,1
103014,365243,Pensioner,1,N,N,1
127028,365243,Pensioner,0,N,Y,1
78218,0,Student,0,N,Y,1
386740,-3285,Working,1,Y,N,0
237871,365243,Pensioner,0,Y,Y,1
177924,-7300,Working,0,Y,N,1
207921,365243,Pensioner,1,N,Y,1
248878,-8030,Working,1,N,Y,1
465520,-11315,Working,1,Y,Y,0
257541,-12045,Working,3,Y,N,1
231627,-4015,Working,0,Y,N,1
240346,365243,Pensioner,0,N,N,1
266353,-9855,Working,0,N,Y,1
179971,-1460,Working,0,Y,Y,1
336836,-12045,Working,0,N,N,1
240749,-13505,Working,3,N,Y,1
330596,-730,Working,1,N,N,1
584906,-14235,Commercial associate,2,N,N,0
464946,-2920,Working,1,N,Y,1
427275,-8760,Working,0,Y,Y,0
448483,-6570,Working,1,N,N,1
175266,365243,Pensioner,1,Y,Y,1
334917,-14235,Commercial associate,2,N,N,0
490857,-12045,Working,3,N,N,1
297019,365243,Pensioner,2,N,Y,1
474311,-11315,Working,2,N,N,1
487158,-12410,Working,3,N,N,1
169547,365243,Pensioner,0,Y,N,1
432336,-13505,Working,1,N,Y,1
564206,-5475,Commercial associate,0,N,Y,0
264340,-1460,Commercial associate,0,N,Y,1
221070,-2555,Working,0,N,Y,1
177152,365243,Pensioner,1,N,Y,1
201735,0,Working,0,N,Y,1
197459,-10950,Working,1,N,N,1
207338,-11680,Working,0,N,Y,1
170198,-13870,Working,2,N,Y,1
211100,365243,Pensioner,2,N,Y,1
192091,-9490,Working,1,N,Y,1
475478,-2555,Commercial associate,1,N,Y,0
560654,-13140,State servant,3,N,N,0
578226,-12410,Commercial associate,2,N,Y,0
595988,-7665,State servant,0,N,N,0
443243,-9490,Working,0,N,N,1
814653,-10220,Commercial associate,1,N,N,0
153413,-13505,Working,1,N,Y,1
383126,-5840,Working,0,N,N,0
560574,-11315,State servant,0,N,Y,0
251733,-1460,Working,2,N,Y,1
188478,-3285,Working,2,N,N,1
251990,-2920,Commercial associate,3,N,N,1
361498,-6935,Working,0,N,Y,1
542176,-10950,Commercial associate,0,N,Y,0
204470,-2190,Working,0,N,Y,1
494283,-10585,Working,2,Y,N,0
228394,365243,Pensioner,1,Y,Y,1
82606,0,Student,1,N,Y,1
470450,-730,Working,0,N,Y,1
410511,-6205,Working,0,N,Y,0
621001,-2190,Commercial associate,0,Y,N,1
111750,365243,Pensioner,0,N,N,1
477721,-8395,Working,0,Y,N,1
407500,-8030,Commercial associate,0,N,Y,0
92438,365243,Pensioner,1,Y,N,1
327402,-12045,Working,0,Y,N,0
354404,-5840,Commercial associate,1,N,Y,0
286481,365243,Pensioner,2,Y,Y,1
262330,365243,Pensioner,0,N,N,1
234484,365243,Pensioner,1,N,N,1
841553,-3285,Commercial associate,0,N,Y,0
263522,-6205,Working,0,Y,Y,1
566740,-9125,State servant,0,N,Y,0
815429,-7300,Commercial associate,1,N,Y,0
804429,-12775,Commercial associate,1,N,N,0
134523,-2555,Working,1,N,N,1
266265,365243,Pensioner,0,N,N,1
309272,-4745,Working,0,N,N,0
121182,-4745,Working,0,N,N,1
748694,-6935,Commercial associate,0,N,Y,0
376835,-8395,Working,1,Y,Y,0
468773,0,Working,0,N,Y,1
407143,-8395,Working,0,N,Y,1
289565,-12775,State servant,0,Y,Y,0
854986,-12775,Commercial associate,0,N,Y,0
126751,-10950,Working,1,Y,Y,1
326090,-10950,Working,1,Y,Y,0
120793,365243,Pensioner,1,N,Y,1
324872,-8395,Working,0,N,Y,1
489929,-1460,Working,0,N,Y,1
386268,-8030,Working,0,Y,N,0
396221,-11680,Working,1,N,Y,0
314223,-8395,Working,1,N,Y,1
342832,-3650,Commercial associate,2,N,N,0
229065,-9855,Working,1,Y,N,1
254030,-10585,Working,0,N,N,1
188697,-365,Working,0,Y,Y,1
378637,0,Working,2,N,N,1
227880,-7665,Working,0,Y,Y,1
260381,-2190,Working,0,N,N,1
293876,365243,Pensioner,1,N,Y,1
45853,0,Student,0,Y,Y,1
332067,-4380,Working,2,Y,Y,1
492761,-6570,Working,1,N,N,1
12884,0,Student,0,N,Y,1
135135,-8030,Working,0,Y,Y,1
125761,-2920,Working,0,Y,Y,1
463581,-10220,Working,1,N,N,1
304335,-7300,Working,2,N,Y,1
294453,365243,Pensioner,0,N,Y,1
423860,0,Working,1,Y,Y,1
220363,365243,Pensioner,1,N,Y,1
113444,-5475,Working,0,Y,N,1
459792,-12045,Working,0,Y,Y,0
498303,-10950,Commercial associate,2,N,N,0
397668,-1825,Working,0,Y,N,1
314560,-1095,Commercial associate,1,N,Y,0
357481,-12045,Working,3,N,Y,1
191679,-5475,Working,1,N,N,1
418379,-2555,Working,2,N,Y,1
290410,-6935,Commercial associate,1,N,N,1
185192,-10950,Working,0,N,Y,1
195006,365243,Pensioner,2,N,Y,1
387805,-8760,Commercial associate,2,N,Y,0
269294,365243,Pensioner,0,Y,N,1
397103,-2920,Working,3,N,Y,1
487527,-365,Working,0,N,N,1
479704,-3285,State servant,0,N,N,0
120027,365243,Pensioner,0,N,Y,1
360115,-4745,Working,0,N,N,1
190497,365243,Pensioner,0,N,N,1
453890,-7665,Commercial associate,0,N,N,0
262939,365243,Pensioner,0,N,N,1
467619,-9490,Working,1,Y,N,1
405364,-6935,Working,2,N,N,1
511372,-9125,Commercial associate,0,Y,Y,0
156176,-4380,Working,0,N,Y,1
435417,-2920,Working,2,N,Y,1
272013,-4380,State servant,1,N,N,1
484755,-730,Working,0,N,N,1
626941,-11680,Commercial associate,3,N,N,0
208237,-10585,Working,0,N,Y,1
261855,-13505,Working,1,N,Y,1
339400,-8395,State servant,0,Y,Y,0
179944,-12045,Working,0,N,Y,1
367439,-5110,Working,0,N,Y,1
391848,-6205,Commercial associate,2,N,N,0
854282,-1460,Commercial associate,1,N,Y,1
130758,365243,Pensioner,1,Y,Y,1
189110,-8030,Working,0,Y,N,1
170864,-13505,Working,1,N,N,1
962476,-5110,Commercial associate,0,N,Y,0
431368,-3285,Working,0,N,Y,1
107745,365243,Pensioner,0,N,N,1
876874,-2920,Commercial associate,0,N,Y,0
244488,-2555,State servant,2,N,Y,1
188207,-11680,Working,0,N,Y,1
169641,365243,Pensioner,1,Y,N,1
347066,-3285,Working,0,N,Y,1
65908,0,Student,0,N,N,1
887318,-11315,Commercial associate,0,N,Y,0
372983,-3650,Working,1,N,Y,0
197919,-9855,Working,0,Y,Y,1
139297,365243,Pensioner,0,N,Y,1
76853,0,Student,0,N,N,1
136310,365243,Pensioner,1,N,Y,1
440068,-4015,Working,2,Y,N,0
329484,-14235,Working,1,N,Y,0
568069,-6205,State servant,0,N,N,0
467525,-2920,State servant,3,N,N,1
163295,-10950,Working,0,N,N,1
226637,365243,Pensioner,1,N,Y,1
152591,365243,Pensioner,2,N,Y,1
112755,-12045,Working,0,N,Y,1
520298,-1825,State servant,1,Y,N,1
271970,365243,Pensioner,1,Y,Y,1
392593,-12775,Commercial associate,1,Y,Y,0
203107,-3285,Working,0,N,Y,1
589913,-2555,Commercial associate,1,N,Y,0
130770,365243,Pensioner,0,N,N,1
473502,-9125,State servant,2,Y,N,0
444950,-10950,Working,0,N,N,0
178022,365243,Pensioner,2,N,Y,1
504547,-2190,State servant,2,N,Y,1
481941,-9855,Commercial associate,3,N,Y,0
361674,-5475,Working,0,N,Y,0
298715,-730,Working,1,Y,N,1
65167,365243,Pensioner,1,N,N,1
461401,0,Commercial associate,2,N,N,1
70874,365243,Pensioner,0,Y,N,1
244348,-2920,State servant,0,Y,N,1
211573,-13140,Working,0,N,Y,1
283913,365243,Pensioner,0,Y,Y,1
65261,365243,Pensioner,0,N,N,1
403564,-9855,Working,1,Y,Y,0
50432,365243,Pensioner,0,N,Y,1
395583,-730,Working,0,N,Y,1
249824,365243,Pensioner,0,N,Y,1
154504,365243,Pensioner,0,Y,Y,1
247702,-6935,Working,0,N,Y,1
333559,-8395,Working,2,Y,N,0
223309,-9490,State servant,1,N,Y,1
869727,-11315,Commercial associate,2,N,Y,0
62543,0,Student,2,Y,N,1
209011,365243,Pensioner,1,Y,Y,1
377946,-13140,Commercial associate,1,Y,Y,0
480643,-6570,Working,3,N,Y,0
459267,-13140,Working,0,N,Y,1
684540,-5475,Commercial associate,2,N,N,1
471024,-13870,Working,0,N,Y,1
421516,-14235,Working,1,N,Y,0
153024,-4745,Working,3,Y,Y,0
324749,-4745,Working,0,Y,Y,0
371978,-2920,Working,0,N,Y,0
701994,-12775,Commercial associate,1,N,Y,0
684441,-1095,Commercial associate,0,Y,N,0
995818,-730,Commercial associate,0,Y,N,1
217827,-9855,Working,0,N,Y,1
390201,-8030,State servant,0,N,Y,0
177442,-730,Working,0,Y,Y,1
60073,365243,Pensioner,0,N,N,1
372036,-8030,State servant,0,N,Y,0
320386,-13505,Working,1,N,N,0
91891,0,Student,3,N,N,1
235311,-11680,Working,0,N,N,1
867296,-10220,Commercial associate,0,N,Y,0
345385,-8395,Working,0,N,Y,0
160848,-9855,Working,0,N,Y,1
385815,-730,Working,2,N,N,1
204733,-6205,Working,0,N,Y,1
323687,-5110,Working,1,N,Y,1
236649,-9125,State servant,1,Y,N,1
109155,365243,Pensioner,3,Y,Y,1
412094,-4015,Working,1,N,Y,0
397298,-5475,Commercial associate,1,N,N,1
177256,-4380,Working,0,Y,Y,0
425834,-11680,Working,2,N,N,1
126772,365243,Pensioner,0,N,N,1
88553,0,Student,0,N,Y,1
374166,-6205,Commercial associate,0,N,Y,0
244352,-9490,Working,1,N,N,1
251328,-10950,Working,1,N,N,1
216229,365243,Pensioner,0,N,Y,1
185693,-1095,Working,1,N,N,1
203010,-7300,State servant,1,N,N,1
880143,-6205,Commercial associate,2,N,Y,0
106911,365243,Pensioner,3,N,N,1
392164,-14235,Working,0,N,Y,0
477784,-13870,Working,0,N,Y,1
923380,-8760,Commercial associate,2,N,Y,0
248112,-13140,Working,3,N,N,1
206242,-12410,Working,0,N,Y,1
334417,-10220,Working,1,N,N,1
237588,365243,Pensioner,2,N,Y,1
445653,-3285,Working,0,N,Y,1
342431,-5840,Working,1,Y,Y,1
292513,-7665,State servant,1,N,N,1
467388,-10950,State servant,0,N,Y,0
56212,365243,Pensioner,0,N,Y,1
706767,-13140,Commercial associate,0,N,Y,0
209,0,Student,1,N,N,1
367751,-730,Working,0,N,Y,1
198662,-6205,Working,1,N,Y,1
500763,-10950,Commercial associate,0,N,N,0
379916,-9125,Working,2,Y,N,1
436298,-8030,State servant,0,Y,Y,0
216189,-6570,Working,0,Y,Y,0
131541,-3285,Working,0,N,Y,1
120156,-4380,Working,0,N,Y,1
685825,-14235,Commercial associate,0,N,N,0
684103,-7665,Commercial associate,0,Y,N,0
154180,365243,Pensioner,1,N,Y,1
686884,-9125,Commercial associate,2,N,Y,0
360587,-365,Working,2,Y,Y,1
372859,-13505,Working,0,N,Y,0
840337,-5475,Commercial associate,1,Y,Y,0
200214,365243,Pensioner,1,N,N,1
599341,-10220,State servant,2,Y,N,0
383748,-2190,Working,1,N,N,1
331704,-14235,Working,0,N,N,1
117152,-6570,Working,0,N,N,1
337163,-1825,State servant,2,N,Y,1
122551,-1460,Working,3,N,Y,1
66333,0,Student,0,Y,Y,1
679456,-8760,Commercial associate,0,N,Y,0
438826,-11315,Commercial associate,3,N,N,0
273917,-4015,Working,2,N,Y,1
254195,-10950,Working,0,N,Y,1
479989,-5840,Working,0,N,Y,0
485921,-4380,Working,1,N,Y,1
114680,365243,Pensioner,1,Y,N,1
395145,-4380,Working,1,N,Y,1
142679,-1825,Working,0,Y,Y,1
223014,-2555,Working,1,N,Y,1
795053,-10220,Commercial associate,1,N,N,0
481977,-3650,Working,0,N,Y,0
158943,365243,Pensioner,0,N,Y,1
172778,365243,Pensioner,0,N,N,1
1995,0,Student,0,N,Y,1
239596,0,Working,3,Y,N,1
148591,-13505,Working,1,N,N,1
276540,-9125,Working,0,Y,Y,1
216062,-11315,Working,0,N,Y,1
166378,365243,Pensioner,0,N,N,1
33440,0,Student,1,N,Y,1
200591,-3285,Working,1,Y,Y,1
382781,-3285,Working,2,Y,N,1
358414,-13505,Working,2,N,N,0
64170,0,Student,1,Y,N,1
251606,-10220,Working,1,N,N,1
71325,0,Student,2,N,Y,1
362440,-4380,Working,1,Y,Y,0
258239,-6935,Working,0,N,N,1
233038,-10585,State servant,0,Y,Y,0
69506,0,Student,0,Y,N,1
266585,-3650,State servant,0,N,Y,0
243635,-365,Working,1,Y,N,1
126515,365243,Pensioner,1,N,Y,1
316361,-7300,Commercial associate,0,Y,Y,0
218642,-12045,Working,2,Y,Y,1
390667,-6205,Working,0,N,N,1
182001,-8395,Working,2,N,N,1
182681,-9125,Working,1,N,Y,1
318816,-2555,Working,1,N,Y,1
81214,0,Student,1,N,Y,1
404603,-13870,Working,1,Y,N,0
155576,365243,Pensioner,0,N,Y,1
168682,-12045,Working,1,Y,Y,1
235009,-5110,Working,1,N,N,1
340904,-12775,Working,2,N,Y,0
338489,-5475,State servant,2,N,Y,0
534154,-8395,Commercial associate,2,Y,Y,0
125395,-9125,Working,3,N,Y,1
137945,365243,Pensioner,1,N,Y,1
289728,-7665,State servant,0,N,Y,0
309304,-6205,Working,3,N,N,1
379965,-9125,Working,2,Y,Y,0
502788,-7665,Commercial associate,0,N,N,0
121711,-3285,Working,0,N,Y,1
104078,365243,Pensioner,0,N,Y,1
174279,365243,Pensioner,1,N,Y,1
671058,-12045,Commercial associate,0,N,N,0
196950,-10950,Working,1,N,Y,1
892505,-14235,Commercial associate,0,N,N,1
297170,-7300,Working,0,N,Y,1
421396,-3285,Working,0,Y,Y,0
409257,-10950,Working,2,N,Y,0
225813,-5475,Working,1,N,N,1
121381,-12410,Working,2,Y,Y,1
445535,0,Working,0,N,Y,1
15439,0,Student,2,N,Y,1
780985,-4015,Commercial associate,1,N,N,1
489666,-5110,Working,0,N,Y,0
351466,-1825,State servant,0,N,Y,0
792735,-11315,Commercial associate,0,N,Y,0
487664,-8395,Working,1,N,N,1
321668,-730,Working,2,N,N,1
214377,-12775,State servant,0,N,Y,1
178343,-10950,Working,0,N,Y,1
161606,-4015,Working,0,N,N,1
64026,365243,Pensioner,0,N,N,1
554398,-5840,Commercial associate,0,Y,Y,0
230066,-13870,Working,2,N,Y,1
304300,-4015,Working,1,N,N,0
100036,-4015,Working,2,N,N,1
76470,365243,Pensioner,1,Y,Y,1
271813,-6570,Working,1,N,N,1
202201,-6205,Working,2,N,Y,1
577499,-9490,State servant,0,Y,Y,0
355069,-6570,Working,1,N,Y,1
